,intensity,email_hash,total_time,goal_time,other_time,avg_goal_time,avg_freq_time,avg_infreq_time,num_freq_goals,num_infreq_goals
6030,0.6666666666666666,9a0fd39cff1f92bc44cccfce,9.080459451121662,8.042056410058754,8.643473357326567,2.6806854700195846,3.9736625135082315,5.638354669333745,2,1
6031,0.6666666666666666,9a0fd39cff1f92bc44cccfce,9.167224080902555,8.295548516225763,8.625509334899697,2.765182838741921,3.9501330183838506,7.176254532017144,2,1
6032,0.6666666666666666,9a0fd39cff1f92bc44cccfce,9.020389788017736,7.665753431861699,8.721928343047091,2.5552511439538996,3.6813226352089123,6.324358962381311,2,1
6033,0.5,9656ccb7a06719d744be2c28,9.904437101571716,7.543273346705446,9.805378459425809,3.771636673352723,4.77912349311153,7.478169694159785,1,1
6034,0.5,9656ccb7a06719d744be2c28,9.735305559295893,7.43955930913332,9.629182277125986,3.71977965456666,4.465908118654584,7.387090235656757,1,1
6035,0.5,9656ccb7a06719d744be2c28,8.83608319099221,6.306275286948016,8.753055515138222,3.153137643474008,4.51085950651685,6.124683390894205,1,1
6036,0.5,9656ccb7a06719d744be2c28,9.587543170366375,6.455198563340122,9.542948007780955,3.227599281670061,3.258096538021482,6.413458957167357,1,1
6037,0.5,9656ccb7a06719d744be2c28,7.698029170272805,6.013715156042802,7.492760300922379,3.006857578021401,4.418840607796598,5.786897381366708,1,1
6038,0.5,9656ccb7a06719d744be2c28,8.74209519574531,6.2166061010848646,8.658692753689937,3.1083030505424323,0.0,6.2166061010848646,1,1
6039,0.5,9656ccb7a06719d744be2c28,9.54809749706027,6.073044534100405,9.516647908551128,3.0365222670502026,4.143134726391533,5.916202062607435,1,1
6040,0.5,9656ccb7a06719d744be2c28,9.765087182800102,6.594413459749778,9.722205455316836,3.297206729874889,5.924255797414532,5.877735781779639,1,1
6041,0.5,9656ccb7a06719d744be2c28,7.635786861395585,5.924255797414532,7.436617265234227,2.962127898707266,5.924255797414532,0.0,1,1
6042,0.5,9656ccb7a06719d744be2c28,8.43511508038063,5.963579343618446,8.34687925374656,2.981789671809223,5.963579343618446,0.0,1,1
6043,0.5,9656ccb7a06719d744be2c28,8.663023639627777,6.759255270663693,8.5016733797582,3.3796276353318464,6.759255270663693,0.0,1,1
6044,0.5,9656ccb7a06719d744be2c28,8.754476306284166,5.159055299214529,8.726643415598444,2.5795276496072646,4.844187086458591,3.8501476017100584,1,1
6045,0.5,9656ccb7a06719d744be2c28,9.534233826390535,7.421177528595393,9.4054136126953,3.7105887642976967,7.418780882750794,1.3862943611198906,1,1
6046,0.5,9656ccb7a06719d744be2c28,9.101083386039234,6.584791392385716,9.016876974763383,3.292395696192858,6.584791392385716,0.0,1,1
6047,0.625,3fe264a5ed0d8be2b9cc9b3a,6.71174039505618,6.3473892096560105,5.5254529391317835,0.7934236512070013,1.2305465389408208,1.5383735056137533,5,3
6048,0.2,6182a321a3176d20a9d09cc9,9.354007721788596,6.874198495453294,9.266531651625925,1.3748396990906588,0.0,1.7185496238633235,1,4
6049,0.75,24930bd3612ea80f16bc13d1,8.016647877057803,7.030857476116121,7.549609165154532,1.7577143690290302,2.3364696442362125,3.1780538303479458,3,1
6050,0.75,24930bd3612ea80f16bc13d1,9.145908511816794,7.647308832356238,8.893023494394711,1.9118272080890595,2.5189835240043,5.198497031265826,3,1
6051,0.75,24930bd3612ea80f16bc13d1,9.791438048727505,7.77779262633883,9.648143587996293,1.9444481565847076,2.385132100632245,7.00850518208228,3,1
6052,0.75,24930bd3612ea80f16bc13d1,9.431562077727694,7.366445148327599,9.29596745794362,1.8416112870818997,2.383828487968245,5.723585101952381,3,1
6053,0.75,24930bd3612ea80f16bc13d1,9.138092207768558,7.277938572945661,8.96890555068972,1.8194846432364153,2.3793576780147823,5.241747015059643,3,1
